,author,cook_time_minutes,description,error,footnotes,ingredients,instructions,photo_url,prep_time_minutes,rating_stars,review_count,time_scraped,title,total_time_minutes,url,Paella type
0,Christine,45,"A very traditional paella, garnished with chorizo, chicken, peas, squid, mussels, and shrimp. Chorizo is a sausage spiced with garlic and chili powder; remove casing before cooking. A paella pan is recommended.",False,[],"['4 tablespoons olive oil', '1 onion, chopped', '2 cloves garlic, minced', '1 red bell pepper, chopped', '4 ounces Spanish chorizo (cured spiced pork sausage), casing discarded and sausage cut into 1/4-inch dice', '2 skinless, boneless chicken breast halves - cut into 1 inch cubes', '1 (12 ounce) package uncooked Arborio rice', '5 cups chicken broth', '1/2 cup white wine', '1 sprig fresh thyme', '1 pinch saffron', 'salt to taste', 'ground black pepper to taste', '2 squid, cleaned and cut into 1 inch pieces', '2 tomatoes, seeded and chopped', '1/2 cup frozen green peas', '12 large shrimp, peeled and deveined', '1 pound mussels, cleaned and debearded', '1/4 cup chopped Italian flat leaf parsley', '8 slices lemon, for garnish']","['Heat olive oil in paella pan over medium heat. Add onion, garlic and pepper; cook and stir for a few minutes. Add chorizo sausage, diced chicken, and rice; cook for 2 to 3 minutes. Stir in 3 1/2 cups stock, wine, thyme leaves, and saffron. Season with salt and pepper. Bring to the boil, and simmer for 15 minutes; stir occasionally.', 'Taste the rice, and check to see if it is cooked. If the rice is uncooked, stir in 1/2 cup more stock. Continue cooking, stirring occasionally. Stir in additional stock if necessary: use up to 2 cups additional stock, 5 cups total. Cook until rice is done.', 'Stir in squid, tomatoes, and peas. Cook for 2 minutes. Arrange prawns and mussels on top. Cover with foil, and leave for 3 to 5 minutes.', 'Remove the foil, and scatter parsley over the food. Serve in paella pan, garnished with lemon wedges.']",http://images.media-allrecipes.com/userphotos/560x315/2337092.jpg,45,4.46,112,1498111256,Paella I,90,http://allrecipes.com/Recipe/12728/,Mixed
1,Dell,15,A tasty seafood dish you must try!,False,[],"['20 mussels, cleaned and debearded', '10 large shrimp', '2 large squid, cleaned and sliced into rings', '2 tablespoons olive oil', '2 pounds boneless, skinless chicken pieces cut into chunks', '3 cloves garlic, chopped', '1 red bell pepper, sliced', '2 tomatoes, cubed', '3 cups long-grain white rice', '1 pinch saffron', '1 teaspoon paprika', '1 cup green peas']","['In a pot of lightly salted water, boil the mussels until they open. Drain, and discard unopened mussels. In a separate pot of lightly salted water, boil the prawns and squid until opaque, 3 to 4 minutes. Drain, reserving liquid.', 'Heat olive oil in a large skillet. Place chicken pieces in the skillet, fry them until they are golden brown. Remove the chicken pieces from the skillet and set aside.', 'Place garlic, peppers and tomato cubes into the skillet that the chicken was just removed from. Fry the vegetables until they soften.', 'Bring the fish stock and 3 cups salted water to a boil and mix in 3 cups rice, saffron and paprika. Bring to a boil again. Cover, reduce heat and simmer for 50 minutes or until rice is tender.', 'Stir the peas into the rice. Pour the rice mixture into a large serving dish. Arrange the fried vegetables, chicken, shellfish and prawns around the rice. Serve hot.']",http://images.media-allrecipes.com/userphotos/560x315/2110617.jpg,80,4.6,4,1498111978,Paella II,95,http://allrecipes.com/Recipe/12840/,Mixed
2,Jenny,30,"Delicious paella! You could add additional crab, scallops and mussels if you would like. Place them into the casserole dish during step #5.",False,[],"['1 1/2 pounds skinless, boneless chicken breast halves - cut into bite-size pieces', '2 cups all-purpose flour', 'salt and pepper to taste', '1/3 cup olive oil', '1 pound chorizo sausage, chopped', '1 onion, chopped', '4 cloves crushed garlic', '2 cups chopped tomatoes', '2 cups white rice', '1 (6.5 ounce) can minced clams', '2 cups frozen green peas', '1 pinch saffron', '5 cups boiling chicken broth', '1 pound small shrimp - peeled and deveined']","['Preheat oven to 400 degrees F (200 degrees C).', 'Dredge the chicken in flour and salt and pepper. In a large skillet, fry the chicken in 1/4 cup olive oil until brown and crispy. Set aside.', 'In a large skillet, brown chorizo sausage. Set aside.', 'Place 2 tablespoons olive oil in a large skillet and fry onion and garlic until onions are tender. Add chopped tomatoes and saute for 3 to 4 minutes. Add rice to the skillet and mix well. This glazes the rice.', 'Put rice mixture, chicken, and sausage in large covered casserole dish. Add can of clams, peas, saffron, chicken broth and shrimp. Cover casserole dish.', 'Bake until all the liquid is absorbed and rice is tender. You may need to add more broth if rice is not done.', 'Arrange clams and mussels on top of rice and bake for another 10 minutes. Before serving, discard any clams that do not open.']",http://images.media-allrecipes.com/userphotos/560x315/3170562.jpg,80,4.59,17,1498112137,Paella III,110,http://allrecipes.com/Recipe/12878/,Mixed
3,MRS MEGS,15,This is a simple paella that is fast and tastes great.  I even got my kids to eat it.,False,[],"['1/2 cup uncooked white rice', '1 1/2 cups water', '1/2 teaspoon minced garlic', '1 pound fresh shrimp, shelled and deveined without tails', '1 (14.5 ounce) can chicken broth', '1 (14.5 ounce) can peeled and diced tomatoes with juice', '4 saffron threads']","['In a saucepan bring water to a boil. Add rice and stir. Reduce heat, cover and simmer for 20 minutes.', 'In a large skillet over medium heat, saute the garlic and shrimp for about 5 minutes or until pink.', 'Pour in broth, tomatoes and saffron; bring to a boil, stirring frequently. Stir in 2 cups of the cooked rice and reduce heat to low. Cook for an additional 5 minutes.']",http://images.media-allrecipes.com/userphotos/560x315/4123998.jpg,15,3.65,18,1498168309,Shrimp Paella,30,http://allrecipes.com/Recipe/24504/,Mixed
4,AMLOOS,25,"Sausage, chicken, shrimp and rice dish!",False,[],"['5 (4 ounce) links hot Italian sausage, cut into 1 inch pieces', '5 (4 ounce) links mild Italian sausage, cut into 1 inch pieces', '15 raw chicken tenders or strips', '2 pounds large shrimp - peeled and deveined', '1 onion, chopped', '1 green bell pepper, seeded and cut into strips', '1 large stalk celery, with leaves, finely chopped', '2 cloves garlic, minced (optional)', '2 cups uncooked long grain rice', '2 (14.5 ounce) cans peeled and diced tomatoes, juice reserved', '2 bay leaves', '2 teaspoons salt', '1 teaspoon dried oregano', '3/4 teaspoon ground turmeric', '3 1/2 cups chicken broth']","['Heat a wok over medium-high heat. Fry hot and mild Italian sausage pieces in the wok until brown on all sides. Remove sausage, and fry the chicken strips in the sausage drippings until browned. Remove chicken and saute onions, green pepper, celery, and garlic for 5 minutes, or until tender.', 'Stir in the uncooked rice, tomatoes, bay leaves, salt, oregano and turmeric. Cook and stir for 1 minute, then mix in the reserved tomato juice and chicken broth. Add chicken pieces, cover and simmer for about 20 minutes.', 'Add sausage to the mixture, and continue to simmer for 15 minutes, then stir in the shrimp; cover and cook for 5 to 10 more minutes, or until shrimp is cooked through.']",http://images.media-allrecipes.com/userphotos/560x315/4483132.jpg,60,4.36,87,1498190165,Paella,85,http://allrecipes.com/Recipe/34413/,Mixed
5,J.D.Tyre,30,"Chicken, shrimp, crawfish, andouille sausage, mushrooms, bell peppers and onion come together into a rice-based dish that no one can resist! I've never been accused of timid use of ingredients!",False,[],"['2 tablespoons olive oil', '4 chicken leg quarters', '2 (8 ounce) packages dirty rice mix', '5 cups water', '2 pounds whole cooked crawfish, peeled', '3/4 medium shrimp - peeled and deveined', '1/2 pound andouille sausage, sliced into rounds', '2 cups sliced mushrooms', '1 large green bell pepper, chopped', '1 large sweet onion, chopped', '3 cloves garlic, minced']","['Heat oil in a heavy Dutch oven over medium high heat. Sear chicken on all sides until browned. Stir in dirty rice mix and water. Stir in crawfish, shrimp, sausage, mushrooms, bell pepper, onion and garlic. Bring mixture to a boil, and stir. Reduce heat, cover and simmer until rice is tender, and moisture is absorbed, 25 to 30 minutes.']",http://images.media-allrecipes.com/userphotos/560x315/3767454.jpg,45,4.41,21,1498191543,Cajun Paella,75,http://allrecipes.com/Recipe/38167/,Mixed
6,Stouffer's®,7,"The signature dish of the Spanish city of Valencia, paella brings together the most tender rice, the richest of stock and the freshest of seafood and chicken. Kissed by a few threads of saffron this Savory Paella will bring Valencia to your table.",False,[],"[""1 (40 ounce) bag STOUFFER'S® frozen Skillet Sensations Savory Chicken & Rice Family Meal"", '1 teaspoon olive oil', '1 clove garlic, finely chopped', '1/8 teaspoon ground red pepper', '1/2 teaspoon crushed saffron threads (optional)', '1/2 pound fully cooked, cleaned medium-sized shrimp', '1 (14.5 ounce) can diced tomatoes, drained']","['HEAT olive oil in deep 12-inch skillet over medium heat. Add garlic; cook until aromatic. Add Savory Chicken & Rice, saffron and red pepper; prepare according to package instructions. Add shrimp and tomatoes; cover and cook over low heat for 5 minutes or until hot.']",http://images.media-allrecipes.com/userphotos/250x250/988099.jpg,20,3.0,0,1498192570,Savory Paella,27,http://allrecipes.com/Recipe/40516/,Seafood
7,Betty Crocker®,15,"No special pans required!  Experience authentic-tasting paella with fresh vegetables, rice and saffron seasonings.  It's quick and easy!",False,"[""Betty's Tips"", ""Traditional paella is a Spanish dish loaded with seafood, vegetables, rice and saffron seasoning. In some regions, it's cooked outside in a large flat pan, also called a paella."", 'Save time cutting broccoli! Look for the packages of broccoli flowerets available in the produce section of your grocery store.', 'A traditional paella flavoring (and expensive spice), saffron is the hand-picked stigma from a tiny purple crocus flower. It takes more than 14,000 of these little threads to produce one ounce of saffron!', ""Turmeric does the trick as a saffron substitute because it's moderately priced and generally available in most supermarkets. Both spices are pungent, aromatic and used to add flavor and color to foods."", 'Click here for more Betty Crocker® recipes.', '®Reg. T.M. of General Mills, Inc. or its affiliates']","['1 pound asparagus, cut into 2-inch pieces', '3 cups broccoli flowerets', '2 teaspoons olive or vegetable oil', '1 medium red bell pepper, chopped', '2 small zucchini, chopped', '1 medium onion, chopped', '4 cups cooked brown or regular long-grain rice', '3/4 teaspoon salt', '1/2 teaspoon saffron threads', '2 large tomatoes, seeded and chopped', '2 (15 ounce) cans garbanzo beans, rinsed and drained', '1 (10 ounce) package frozen green peas, thawed']","['Cook asparagus and broccoli in enough boiling water to cover in 2-quart saucepan about 4 minutes or until crisp-tender; drain.', 'Heat oil in 10-inch skillet over medium-high heat. Cook asparagus, broccoli, bell pepper, zucchini and onion in oil about 5 minutes, stirring occasionally, until onion is crisp-tender.', 'Stir in remaining ingredients. Cook about 5 minutes, stirring frequently, until hot.']",http://images.media-allrecipes.com/userphotos/250x250/985282.jpg,15,3.25,4,1498198274,Spring Vegetable Paella,30,http://allrecipes.com/Recipe/51119/,Other
8,DRAPOSO,15,I am a vegetarian and I am always trying new things. Substitute this meat dish with veggie ground beef and you won't taste the difference!,False,[],"['2 cups water', '1 cup long grain rice, rinsed and drained', 'vegetable oil', '1 cup frozen corn and peas', '1 cup frozen broccoli', '1 cup sliced mushrooms', '1 (12 ounce) package texturized vegetable protein (TVP)', '1/4 teaspoon garlic salt', '1/4 teaspoon paprika', '1 pinch black pepper']","['Bring water to a boil in a medium saucepan. Add rice and stir. Reduce heat, cover and simmer for 20 minutes. Set aside.', 'Heat oil in wok or deep frying pan over medium high heat. Cook frozen corn, peas, and broccoli until thawed. Stir in sliced mushrooms and veggie ground beef, and continue cooking for 5 minutes, stirring occasionally. Once vegetables are tender and vegetable protein is browned, stir in garlic salt and paprika. Reduce heat to low, and cook another 3 minutes. Serve warm over rice.']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,30,2.88,6,1498199732,Vegetable Paella,45,http://allrecipes.com/Recipe/54583/,Other
9,Lindsay® Olives,30,"A delicious, traditional combination of spicy sausage and saffron-scented chicken with rice, this paella takes these flavor combinations to a new level with the addition of zesty Lindsay® Stuffed Manzanilla Olives.",False,"['* Look for small vials of saffron, an exotic Spanish spice, in the spice section of your supermarket. If it is not available, substitute 1 teaspoon turmeric.']","['1 cup dry white wine', '1/2 teaspoon crushed saffron threads*', '3/4 pound hot Italian sausage or Andouille sausage, sliced 1/4-inch thick', '2 tablespoons olive oil, divided', '6 small bone-in chicken thighs, skinned', 'Salt (optional)', '1 large onion, chopped', '4 cloves garlic, minced', '2 cups Arborio rice', '2 (13.75 ounce) cans low salt chicken broth or chicken stock', '1/2 teaspoon cayenne pepper', '1 large tomato, seeded and diced', '1 cup frozen peas', '3/4 cup Lindsay® Stuffed Manzanilla Olives, halved crosswise']","['Heat oven to 400 degrees F. Combine wine and saffron threads; set aside.', 'Cook sausage slices in an oven-proof Dutch oven or paella pan over medium heat until browned, about 6 minutes, turning once. Transfer to a small bowl; set aside. Add 1 tablespoon olive oil to skillet. Add chicken; sprinkle with salt to taste if desired. Cook 5 minutes; turn and continue to cook 5 minutes. Transfer chicken to a large bowl; set aside.', 'Add remaining 1 tablespoon oil to skillet. Add onion and garlic; cook 3 minutes; stirring occasionally. Add rice; cook 1 minute, stirring constantly. Add broth, wine-saffron mixture and cayenne pepper; bring to a boil. Reduce heat; simmer uncovered 8 minutes, stirring frequently. Remove from heat; stir in tomato, peas and reserved sausage. Bury chicken under rice mixture. Cover; bake 40 minutes or until most of liquid is absorbed. Remove from oven; let stand covered 5 minutes before serving.']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,70,4.5,2,1498204720,"Seville Chicken, Sausage & Olive Paella",100,http://allrecipes.com/Recipe/65763/,Traditional
