,Ingredient,Count,Traditional
0,olive oil,889,1
1,oregano,103,0
2,dry basil,1,0
3,garlic,1008,1
4,salt,711,1
5,pepper,135,0
6,chicken,680,1
7,shrimp,571,0
8,chorizo,178,0
9,yellow onions,82,0
10,green pepper,104,0
11,short grain white rice,310,1
12,chicken broth,496,0
13,tomatoes,706,1
14,powdered saffron,18,0
15,scallops,38,0
16,clams,83,0
17,mussels,299,0
18,pimientos,51,0
19,onion,750,0
20,asparagus,5,0
21,fresh peas,22,0
22,saffron,302,1
23,mushrooms,53,0
24,artichokes,31,0
25,boiling water,24,0
26,medium grain rice,4,0
27,long grain rice,73,0
28,cumin seeds,6,0
29,couscous,22,0
30,red bell pepper,277,0
31,baby shrimp,2,0
32,lime wedges,2,0
33,lemon,201,0
34,long-grain rice,39,0
35,green bell pepper,132,0
36,black pepper,71,0
37,smoked sausage,2,0
38,turmeric,94,0
39,converted rice,1,0
40,bell peppers,51,0
41,broth,14,0
42,tasso,3,0
43,frozen green pea,46,0
44,peas,120,0
45,saffron thread,273,0
46,rice pilaf mix,1,0
47,lobster,77,0
48,butter,85,0
49,fresh garlic,6,0
50,cooked rice,2,0
51,basil,17,0
52,italian sausage,38,0
53,crushed red pepper flakes,3,0
54,minute rice,2,0
55,medium shrimp,1,0
56,canola oil,15,0
57,red onion,46,0
58,frozen carrots,2,0
59,ground turmeric,58,0
60,cayenne pepper,64,0
61,dried parsley,1,0
62,garlic powder,8,0
63,dried oregano,1,0
64,green peas,64,0
65,water,215,1
66,ketchup,3,0
67,sweet onion,15,0
68,vegetable broth,44,0
69,minute white rice,1,0
70,fresh shrimp,6,0
71,yellow rice mix,1,0
72,tarragon vinegar,2,0
73,curry powder,11,0
74,white pepper,11,0
75,celery,44,0
76,diced pimentos,1,0
77,lettuce leaf,1,0
78,small shrimp,1,0
79,bay scallop,11,0
80,cornstarch,9,0
81,tabasco sauce,5,0
82,littleneck clams,60,0
83,parsley,246,0
84,kosher salt,113,0
85,dry white wine,5,0
86,lemon juice,82,0
87,leek,10,0
88,bay leaf,153,0
89,sweet paprika,51,0
90,short-grain rice,45,0
91,manila clams,12,0
92,white wine,235,0
93,ham steak,3,0
94,italian tomatoes,3,0
95,thyme,114,0
96,paprika,314,1
97,nutmeg,6,0
98,fresh parsley,60,0
99,frozen shrimp,9,0
100,oregano flakes,3,0
101,dried thyme,1,0
102,bouillon,1,0
103,mustard seeds,1,0
104,star anise,1,0
105,clove,2,0
106,brown sugar,8,0
107,fresh coriander leaves,1,0
108,white wine vinegar,5,0
109,green chili,1,0
110,cinnamon,8,0
111,fresh ginger,2,0
112,mint,2,0
113,ground lamb,1,0
114,ras el hanout spice mix,1,0
115,ground cloves,6,0
116,orange bell peppers,6,0
117,honey,6,0
118,raisins,3,0
119,cooked white rice,1,0
120,pitted black olives,1,0
121,anchovy fillets,2,0
122,capers,26,0
123,dijon mustard,1,0
124,tomato puree,13,0
125,fresh thyme,5,0
126,flat leaf parsley,33,0
127,poblano chiles,5,0
128,brown rice,29,0
129,carrots,78,0
130,zucchini,40,0
131,red capsicum,2,0
132,tomato paste,49,0
133,fresh ground black pepper,16,0
134,broccoli,9,0
135,cauliflower,11,0
136,spanish onion,32,0
137,flour,20,0
138,cod fish fillet,1,0
139,squid,11,0
140,sea salt,1,0
141,artichoke hearts,4,1
142,dried rosemary,1,0
143,clams in shell,1,0
144,basmati rice,15,0
145,green beans,62,0
146,fresh ground pepper,9,0
147,large shrimp,2,0
148,scallions,42,0
149,saffron strands,14,0
150,baby clams,4,0
151,lima beans,5,0
152,green onion,41,0
153,cumin,13,0
154,parmesan cheese,17,0
155,shallots,40,0
156,pine nuts,6,0
157,smoked link sausage,1,0
158,black olives,22,0
159,green olives,40,0
160,beer,2,0
161,rosemary,25,1
162,ground cumin,29,0
163,calrose rice,1,0
164,lemon wedges,74,0
165,yellow rice,11,0
